cert_name,issuing_org,date_completed,hours,category,subcategories,skills,source_file,needs_review
"Designing Big Data Healthcare Studies, Part Two",,"Aug 26, 2016",1.73,IT Support & Systems Administration,,Shea Hanson; Head of Learning Content Strategy,CertificateOfCompletion_Designing Big Data Healthcare Studies Part Two.pdf (page 1),yes (AI flagged low confidence — verify)
Digital Forensics: The Big Picture,,"5 September, 2023",1.2,,,,Digital Forensics- The Big Picture.pdf (page 1),yes
Course,,"October 9, 2020",59 m,IT Support & Systems Administration,,,Fundamentals of AI & ML_ Metrics & Evaluation .pdf (page 1),yes (AI flagged low confidence — verify)
"Master Discrete Mathematics: Sets, Math Logic, and More",Udemy,,,,,,"Master Discrete Mathematics- Sets, Math Logic, and More.pdf (page 1)",yes (AI call failed — see console output; heuristic values only)
Certificate of Completion,Western Governors University,"Jun 26, 2005",,IT Support & Systems Administration,,,SQL certs.pdf (page 1),yes (AI flagged low confidence — verify)
Introduction to SQL,,"27 October, 2023",3,,,,SQL certs.pdf (page 2),yes
Programming Foundations: Databases,,"Nov 01, 2023 at 2:39 PM UTC",2.43,IT Support & Systems Administration,,Database Development Databases Programming Foundations,SQL certs.pdf (page 3),yes (AI flagged low confidence — verify)
MySQL Fundamentals,,"12 November, 2023",2.6,,,,SQL certs.pdf (page 4),yes
MySQL Fundamentals Part 2,,"12 July, 2004",2.7,,,,SQL certs.pdf (page 5),yes
"#44,532,085 HAS BEEN AWARDED TO FO R SUCCESSFULLY CO MPLETIN G Winning a Kaggle Competition in Python LENGTH",DataCamp,,4,,,,Winning a Kaggle Competition in Python Datacamp.pdf (page 1),yes (AI call failed — see console output; heuristic values only)
